Sentence,Word_Count,Sentence_Length,Char_Count,DLP,Dot_Load_Ratio,OVL,Similar_Shape_Density,PSC_Density,Lexical_Difficulty,Homograph_Risk,Avg_Morphological_Complexity,Domain,Text_Class,Quadrant,Readability_Level_19,DLI,DLI_10
يرد على أسئلتهم واستفساراتهم,4,25,25,0.2,0.36,0.0,0.48,0.2,1.25,0.25,0.75,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,5,2.3
مبادلة,1,6,6,0.33,0.5,0.0,0.33,0.17,2.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,5,3,1.4
• أمتلك مجموعة من طوابع البريد، وبطاقات المسابقة الكبرى رقم (8) بالإضافة إلى العديد من المجلات..,21,74,81,0.31,0.46,0.0,0.43,0.2,1.79,0.21,0.64,Arts & Humanities,Foundational,Low BAREC / High DLI,10,6,2.7
وأود مبادلتها جميعا بكتابي كسلان جدا..,8,31,33,0.32,0.45,0.0,0.48,0.26,2.5,0.0,0.67,Arts & Humanities,Foundational,Low BAREC / High DLI,8,6,2.7
حول العالم..,4,9,11,0.0,0.0,0.0,0.22,0.33,1.0,0.5,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,5,2.3
وكسلان جدا والأسد.,4,15,16,0.13,0.13,0.0,0.4,0.13,3.33,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,4,1.8
أحمد خميس محمد,3,12,12,0.17,0.25,0.0,0.58,0.58,1.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,3,1.4
بيادر وادي السير – الأردن – ص.,8,21,24,0.24,0.38,0.0,0.62,0.0,2.8,0.0,0.4,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,4,1.8
ب 141242,2,1,7,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,8,9,4.1
••بدون تعليق,4,9,11,0.56,0.89,0.0,0.78,0.11,3.0,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / High DLI,4,9,4.1
سؤال يحيرني,2,10,10,0.4,0.7,0.0,0.7,0.1,1.0,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,5,5,2.3
ما المقصود بدول عدم الانحياز؟,6,24,25,0.21,0.29,0.0,0.46,0.21,3.2,0.2,0.6,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
صالح محسن القرين,3,14,14,0.29,0.43,0.0,0.64,0.21,2.0,0.67,0.33,Arts & Humanities,Foundational,Low BAREC / High DLI,3,6,2.7
كريتر – اليمن الديمقراطية,4,21,22,0.38,0.71,0.0,0.57,0.14,3.5,0.0,1.0,Arts & Humanities,Foundational,High BAREC / High DLI,12,8,3.6
"•• ""عدم الانحياز"" اصطلاح سياسي يعنى الحياد..",12,32,38,0.25,0.41,0.0,0.59,0.19,3.83,0.17,0.33,Arts & Humanities,Foundational,High BAREC / High DLI,14,6,2.7
حيث تلتزم الدول غير المنحازة بعدم الارتباط بأي دول أجنبية في الشرق أو الغرب.,15,62,63,0.42,0.66,0.0,0.56,0.15,2.18,0.14,0.5,Arts & Humanities,Foundational,High BAREC / High DLI,14,6,2.7
وهذا الحياد يتميز بأنه حياد إيجابي..,8,29,31,0.45,0.69,0.0,0.59,0.21,2.83,0.0,0.67,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
بمعنى أن الدول غير المنحازة لا تقف موقف المتفرج أمام المشاكل والأحداث العالمية.. بل يكون لها دور يسير مع مصالحها هي.. لا مصالح الدول المتصارعة..,31,114,120,0.25,0.4,0.0,0.4,0.24,1.8,0.2,0.48,Arts & Humanities,Foundational,High BAREC / Low DLI,14,4,1.8
وقد بدأ استعمال اصطلاح (عدم الانحياز) في مؤتمر بلغراد عام 1961، والذي اشتركت فيه 21 دولة غير منحازة,21,73,82,0.33,0.52,0.0,0.55,0.22,2.62,0.31,0.25,Arts & Humanities,Foundational,High BAREC / High DLI,14,8,3.6
ربع مليون,2,8,8,0.38,0.5,0.0,0.62,0.25,2.75,0.5,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,8,8,3.6
•لماذا لا تزيد عدد النسخ إلى ربع مليون نسخة حتى يستطيع كل صديق أن يحصل على نسخته بسهولة؟,20,69,71,0.36,0.55,0.0,0.61,0.2,1.42,0.33,0.17,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
شادي محمد إسماعيل,3,15,15,0.2,0.47,0.0,0.53,0.33,1.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,3,1.4
الرياض – السعودية,3,14,15,0.29,0.5,0.0,0.5,0.07,2.0,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,6,4,1.8
•• زيادة عدد النسخ المطبوعة يتم بشكل تدريجي..,11,34,38,0.44,0.74,0.0,0.65,0.21,1.71,0.29,0.43,Arts & Humanities,Foundational,Low BAREC / High DLI,10,9,4.1
وسنصل إلى هذا الرقم قريبًا بإذن الله.,8,29,30,0.31,0.41,0.03,0.45,0.1,1.21,0.0,0.57,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,3,1.4
بريد,1,4,4,0.5,0.75,0.0,1.0,0.0,1.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,1,6,2.7
•هل يوجد نظام (الرمز البريدي) بدولة الإمارات؟,11,35,39,0.31,0.46,0.0,0.46,0.14,2.07,0.14,0.57,Arts & Humanities,Foundational,High BAREC / Low DLI,12,5,2.3
إبراهيم العبدان,2,14,14,0.29,0.36,0.0,0.5,0.21,2.5,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,4,1.8
الرياض – السعودية,3,14,15,0.29,0.5,0.0,0.5,0.07,2.0,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,6,4,1.8
••لم يطبق هذا النظام بعد في دولة الإمارات.,11,32,35,0.34,0.5,0.0,0.47,0.16,1.94,0.25,0.25,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
ألاسكا,1,6,6,0.0,0.0,0.0,0.17,0.17,4.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,4,1.8
هل صحيح أن في ألاسكا ستة شهور نهار.. وستة شهور ليل؟,14,38,41,0.32,0.61,0.0,0.5,0.18,1.5,0.18,0.09,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
محمد حسني متولي,3,13,13,0.31,0.54,0.0,0.62,0.38,1.33,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,3,6,2.7
الجيزة – مصر,3,9,10,0.44,0.67,0.0,0.56,0.22,2.0,0.5,0.5,Arts & Humanities,Foundational,Low BAREC / High DLI,3,8,3.6
••يدوم فصل الشتاء 6 شهور في الدائرة القطبية الشمالية..,13,41,46,0.37,0.73,0.0,0.44,0.07,1.88,0.12,0.5,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
ويكون ضوء النهار ضعيفًا لدرجة أن فصل الشتاء يبدو ليلًا يمتد طوال هذه الشهور..,16,60,62,0.33,0.53,0.03,0.47,0.13,1.5,0.14,0.36,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,4,1.8
وفي فصل الصيف يحدث العكس..,7,20,22,0.35,0.6,0.0,0.65,0.15,1.0,0.2,0.6,Arts & Humanities,Foundational,Low BAREC / High DLI,8,6,2.7
تظل الشمس ساطعة على مدار ستة أشهر.,8,27,28,0.26,0.56,0.0,0.52,0.19,1.79,0.14,0.14,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,5,2.3
النصيحة,1,7,7,0.43,0.71,0.0,0.57,0.14,1.0,0.0,1.0,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
•لماذا لا نخصص إحدى صفحات المجلة لنصائح يتبادلها الأصدقاء..,12,48,51,0.25,0.35,0.0,0.46,0.17,1.22,0.0,0.44,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,3,1.4
ونسمي هذا الباب (النصيحة فضيلة) ...؟,11,25,31,0.48,0.68,0.0,0.52,0.12,1.8,0.0,0.6,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,5,2.3
جرار عدنان,2,9,9,0.33,0.33,0.0,0.78,0.22,1.5,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,2,4,1.8
الدار البيضاء – المغرب,4,18,19,0.28,0.33,0.0,0.44,0.11,1.67,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,4,1.8
•• لا داعي لتخصيص باب مستقل للنصائح..,10,27,31,0.33,0.52,0.0,0.59,0.15,2.17,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,5,2.3
يمكن نشر هذه الفقرات في باب (بأقلام الأصدقاء).,11,36,39,0.42,0.64,0.0,0.53,0.14,1.62,0.12,0.38,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,5,2.3
الاتحاد,1,7,7,0.14,0.29,0.0,0.43,0.14,3.0,0.0,1.0,Arts & Humanities,Foundational,High BAREC / Low DLI,12,5,2.3
•متى تم توحيد الإمارات في دولة واحدة؟,9,29,31,0.31,0.59,0.0,0.45,0.17,2.86,0.14,0.14,Arts & Humanities,Foundational,Low BAREC / High DLI,5,7,3.2
وما هي عاصمتها؟,4,12,13,0.17,0.33,0.0,0.33,0.42,2.33,0.0,0.67,Arts & Humanities,Foundational,Low BAREC / Low DLI,8,4,1.8
نائل سليم خليف,3,12,12,0.42,0.58,0.0,0.5,0.17,3.33,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,3,6,2.7
عمان – الأردن,3,10,11,0.2,0.2,0.0,0.5,0.2,2.5,0.5,0.5,Arts & Humanities,Foundational,Low BAREC / High DLI,3,6,2.7
••أعلن اتحاد دولة الإمارات العربية المتحدة في 2 ديسمبر عام 1971..,15,46,55,0.28,0.48,0.0,0.5,0.2,2.11,0.11,0.33,Arts & Humanities,Foundational,High BAREC / Low DLI,12,4,1.8
وعاصمتها أبو ظبي.,4,14,15,0.36,0.5,0.0,0.5,0.21,2.33,0.33,0.67,Arts & Humanities,Foundational,Low BAREC / High DLI,8,7,3.2
هيئة سياسية,2,10,10,0.5,1.0,0.0,0.5,0.1,4.0,0.0,0.0,Arts & Humanities,Foundational,High BAREC / High DLI,14,7,3.2
كثيرًا ما أرى على أرقام بعض السيارات كلمة (هيئة سياسية) فما المقصود بذلك؟,16,57,60,0.3,0.53,0.02,0.44,0.19,2.23,0.15,0.38,Arts & Humanities,Foundational,High BAREC / Low DLI,12,5,2.3
عبد الله سعيد علي,4,14,14,0.21,0.36,0.0,0.64,0.29,1.38,0.25,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,5,2.3
السويق – سلطنة عمان,4,15,16,0.33,0.53,0.0,0.53,0.13,4.0,0.33,0.33,Arts & Humanities,Foundational,High BAREC / High DLI,12,8,3.6
••السيارات التي يستعملها الدبلوماسيون.. أي رجال السفارات المعتمدون لدى الدولة تحمل هذه الجملة (هيئة سياسية).,22,87,94,0.29,0.49,0.0,0.43,0.17,2.33,0.13,0.47,Arts & Humanities,Foundational,High BAREC / Low DLI,15,5,2.3
لا يجوز تفتيش السيارة أو القبض على سائقها أو محاكمته إلا في حالات خاصة.,15,57,58,0.35,0.6,0.0,0.44,0.18,1.79,0.21,0.29,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
ما معنى كلمة.. (التنمية)؟,9,17,22,0.35,0.59,0.0,0.29,0.35,2.0,0.0,0.25,Arts & Humanities,Foundational,High BAREC / Low DLI,12,5,2.3
سالم مرهون مبارك,3,14,14,0.14,0.14,0.0,0.36,0.36,2.33,0.33,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,5,2.3
الخابورة – سلطنة عمان,4,17,18,0.35,0.47,0.0,0.47,0.18,4.0,0.33,0.0,Arts & Humanities,Foundational,High BAREC / High DLI,12,8,3.6
يقصد بالتنمية.. خطة اقتصادية لزيادة الإنتاج.. ورفع مستوى المعيشة للأفراد.,15,59,64,0.42,0.73,0.0,0.54,0.12,2.0,0.0,0.8,Arts & Humanities,Foundational,High BAREC / High DLI,15,7,3.2
الأصيل,1,6,6,0.17,0.33,0.0,0.33,0.0,3.0,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,4,1.8
ما هي علامات وصفات الحصان العربي الأصيل؟,8,33,34,0.24,0.39,0.0,0.45,0.18,1.71,0.0,0.57,Arts & Humanities,Foundational,Low BAREC / Low DLI,5,4,1.8
أحمد بالقاسم خليفة,3,16,16,0.38,0.56,0.0,0.5,0.25,1.67,0.0,0.67,Arts & Humanities,Foundational,Low BAREC / High DLI,3,6,2.7
المدينة المنورة – السعودية,4,22,23,0.32,0.55,0.0,0.41,0.14,1.33,0.0,1.0,Arts & Humanities,Foundational,High BAREC / Low DLI,11,5,2.3
الحصان العربي.. قوي.. رشيق.. جميل.. سريع.,15,27,36,0.41,0.74,0.0,0.7,0.19,1.33,0.17,0.33,Arts & Humanities,Foundational,Low BAREC / High DLI,7,7,3.2
الدينار,1,7,7,0.29,0.43,0.0,0.57,0.0,2.0,0.0,1.0,Arts & Humanities,Foundational,High BAREC / Low DLI,11,4,1.8
•كم يساوى الدينار الكويتي بالنسبة لدرهم الإمارات؟,9,41,43,0.27,0.44,0.0,0.41,0.15,2.36,0.14,0.86,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,5,2.3
عثمان سالم حسن,3,12,12,0.25,0.42,0.0,0.58,0.33,1.0,0.67,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,5,2.3
الدوحة – قطر,3,9,10,0.22,0.44,0.0,0.56,0.11,3.0,0.5,0.5,Arts & Humanities,Foundational,Low BAREC / High DLI,3,6,2.7
بين كسلان وأصدقائه,3,16,16,0.31,0.44,0.0,0.5,0.12,3.0,0.33,0.67,Arts & Humanities,Foundational,Low BAREC / High DLI,7,7,3.2
•هل أنت عبقري؟,5,10,12,0.5,0.8,0.0,0.7,0.2,1.83,0.67,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,7,9,4.1
مفضل عبد القادر أبو طالب,5,20,20,0.3,0.35,0.0,0.55,0.1,1.6,0.6,0.2,Arts & Humanities,Foundational,Low BAREC / Low DLI,4,4,1.8
صنعاء – اليمن,3,10,11,0.3,0.4,0.0,0.5,0.2,3.0,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,5,2.3
••وهل أنت كذلك؟,6,10,13,0.3,0.4,0.0,0.3,0.3,1.83,0.67,0.67,Arts & Humanities,Foundational,Low BAREC / High DLI,8,6,2.7
طوابع,1,5,5,0.2,0.2,0.0,0.6,0.2,3.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,4,1.8
ما هي فائدة هواية جمع الطوابع؟,7,24,25,0.29,0.46,0.0,0.38,0.29,2.0,0.33,0.17,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,5,2.3
وكيف يمكنني ممارسة هذه الهواية؟,6,26,27,0.38,0.62,0.0,0.38,0.31,2.4,0.0,0.6,Arts & Humanities,Foundational,Low BAREC / High DLI,8,6,2.7
وديع عبد الرحيم باوزير,4,19,19,0.32,0.47,0.0,0.68,0.21,1.62,0.25,0.25,Arts & Humanities,Foundational,Low BAREC / High DLI,5,6,2.7
حضرموت – اليمن الديمقراطية,4,22,23,0.36,0.64,0.0,0.55,0.18,3.17,0.0,0.67,Arts & Humanities,Foundational,High BAREC / High DLI,14,7,3.2
••هواية جمع الطوابع لها فوائد ثقافية كبيرة، هي التعرف على معلومات جديدة لبلدان كثيرة.. بالإضافة إلى فوائد مادية محتملة هي بيع بعض الطوابع النادرة بأثمان عالية..,33,128,135,0.37,0.6,0.0,0.47,0.2,1.73,0.19,0.38,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
ويمكنك ممارسة هذه الهواية بالبدء في جمع الطوابع.. ومبادلة الأصدقاء والتعرف على الهواة.. وقراءة بعض الكتب عن الطوابع.,23,94,99,0.28,0.4,0.0,0.4,0.21,1.94,0.22,0.83,Arts & Humanities,Foundational,High BAREC / Low DLI,11,5,2.3
تاريخ ميلادي,2,11,11,0.45,0.82,0.0,0.64,0.18,1.0,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / High DLI,3,7,3.2
ولدت يوم 25 فبراير عام 1970..,8,16,24,0.31,0.5,0.0,0.56,0.19,1.5,0.25,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,4,1.8
وأريد معرفة تاريخ ميلادي بالتقويم الهجري؟,7,35,36,0.4,0.69,0.0,0.57,0.2,1.83,0.0,0.83,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
محمد صدقي محمد,3,12,12,0.17,0.33,0.0,0.67,0.5,1.67,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,5,2.3
طما – مصر,3,6,7,0.0,0.0,0.0,0.5,0.33,3.0,0.5,0.0,Arts & Humanities,Foundational,Low BAREC / High DLI,7,7,3.2
يوافق 19 ذو القعدة عام 1389 هجرية.,8,21,28,0.43,0.71,0.0,0.52,0.24,2.2,0.2,0.4,Arts & Humanities,Foundational,High BAREC / High DLI,12,7,3.2
•ولدت يوم 15 محرم عام 1388 هجرية..,10,19,28,0.26,0.47,0.0,0.47,0.42,1.8,0.4,0.2,Arts & Humanities,Foundational,Low BAREC / High DLI,10,6,2.7
وأريد معرفة تاريخ ميلادي بالتقويم الميلادي؟,7,37,38,0.38,0.68,0.0,0.54,0.16,1.83,0.0,0.83,Arts & Humanities,Foundational,Low BAREC / High DLI,8,7,3.2
ماجد عبد الله,3,11,11,0.18,0.18,0.0,0.45,0.36,1.5,0.33,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,5,2.3
الرياض – السعودية,3,14,15,0.29,0.5,0.0,0.5,0.07,2.0,0.0,1.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,6,4,1.8
يوافق 13 إبريل عام 1968 ميلادية.,7,20,27,0.4,0.7,0.0,0.5,0.15,1.5,0.25,0.25,Arts & Humanities,Foundational,High BAREC / Low DLI,12,4,1.8
صداقة,1,5,5,0.4,0.8,0.0,0.6,0.0,1.0,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,4,1.8
•لماذا لا تساهم المجلة في تقوية أواصر الصداقة بين أبناء الوطن العربي وذلك بتشجيع اللقاءات خلال العطلة الصيفية؟,20,91,93,0.37,0.6,0.0,0.45,0.12,1.89,0.06,0.5,Arts & Humanities,Foundational,High BAREC / Low DLI,12,5,2.3
فارس بيساني,2,10,10,0.5,0.7,0.0,0.8,0.0,1.75,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,5,2.3
صيدا – لبنان,3,9,10,0.44,0.56,0.0,0.67,0.0,1.75,0.0,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,5,2.3
•• أحاول الآن تقوية أواصر الصداقة بين أبناء الوطن العربي عن طريق المجلة..,16,57,61,0.35,0.54,0.0,0.49,0.09,2.12,0.17,0.42,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
ثم تأتي اللقاءات بعد ذلك.,6,20,21,0.4,0.75,0.0,0.5,0.15,2.0,0.4,0.2,Arts & Humanities,Foundational,Low BAREC / High DLI,8,7,3.2
بريد القراء,2,10,10,0.3,0.5,0.0,0.6,0.0,1.5,0.0,0.5,Arts & Humanities,Foundational,High BAREC / Low DLI,11,2,0.9
• ما هو عدد الرسائل التي تصل يوميا إلى المجلة؟,11,35,37,0.2,0.37,0.0,0.34,0.17,1.44,0.22,0.22,Arts & Humanities,Foundational,Low BAREC / Low DLI,10,2,0.9
سليمان موسى ميمني,3,15,15,0.33,0.53,0.0,0.47,0.27,2.33,0.0,0.33,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
مكة المكرمة – السعودية,4,18,19,0.22,0.44,0.0,0.28,0.33,1.67,0.0,0.67,Arts & Humanities,Foundational,Low BAREC / Low DLI,6,4,1.8
مئات الرسائل.. وهي تلقى عنايتنا الكاملة ••,10,32,36,0.28,0.5,0.0,0.34,0.16,1.83,0.0,0.67,Arts & Humanities,Foundational,Low BAREC / Low DLI,7,3,1.4
إشراف,1,5,5,0.4,0.8,0.0,0.6,0.0,3.0,0.0,0.0,Arts & Humanities,Foundational,High BAREC / High DLI,12,6,2.7
•من الذي يقوم بالإشراف على طبع المجلة؟,9,30,32,0.37,0.57,0.0,0.47,0.2,2.0,0.43,0.43,Arts & Humanities,Foundational,High BAREC / High DLI,12,8,3.6
عبد الله أحمد خليل,4,15,15,0.2,0.27,0.0,0.47,0.33,1.38,0.25,0.0,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,4,1.8
صنعاء – اليمن,3,10,11,0.3,0.4,0.0,0.5,0.2,3.0,0.0,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,3,5,2.3
••هناك عدد من المسئولين عن طبع المجلة..,11,29,33,0.28,0.34,0.0,0.48,0.31,1.57,0.57,0.29,Arts & Humanities,Foundational,Low BAREC / High DLI,5,6,2.7
يشرف عليهم سكرتير التحرير.,5,22,23,0.36,0.73,0.0,0.73,0.23,2.25,0.0,0.5,Arts & Humanities,Foundational,High BAREC / High DLI,11,8,3.6
من.. وإلى,4,6,8,0.17,0.17,0.0,0.17,0.17,1.0,0.5,0.5,Arts & Humanities,Foundational,Low BAREC / Low DLI,4,4,1.8
